5,NULL,Amglad Global Services,,NULL,NULL,NULL,NULL,NULL,NULL
6,,Teamwork Global Associates,,,,,,,
7,,Practical GIS International LTD,,,,,,,
8,,Fash Global Resources Limited,,,,,,,
9,,Sambus Geospatial Nig. LTD,,,,,,,
10,,Boff & Company Insurance Brokers,,,,,,,
11,,Digitalised Enterprise Solution LTD,,,,,,,
12,,Fara Field Nigeria Limited,,,,,,,
13,,Blackmilk Ventures,,,,,,,
14,,Fara-Field Nigeria Limited,,,,,,,
15,,Rivers of Queen Nig. Limited,,,,,,,
16,,Ivory-Link Truck & Equip Leasing,,,,,,,
17,,Hephziba Royal projects LTD,,,,,,,
18,,ISN Products (NIG.) LTD,,,,,,,
19,,Atek & CrossLimited,,,,,,,
20,,Deloitte,,,,,,,
21,,testy Oil & Gas Limited,,,,,,,
22,,ICON Engineering and Structural Services Limited,,,,,,,
23,,NACA Audit Personnel,,,,,,,
24,,Jesty Oil & Gas Limited,,,,,,,
25,,Onward Asset & Resources LTD,,,,,,,
26,,CorelPRINTS Digital Ltd,,,,,,,
27,,Al-ODE Nig. Ltd,,,,,,,
28,,Fara-Field Nigeria LTD,,,,,,,
29,,Globleo Advertising Ventures,,,,,,,
30,,Hephzibah Royal Projects,,,,,,,
31,,MHOA& CO,,,,,,,
32,,Digitalized Enterprise Solutions LTD,,,,,,,
33,,Vish Integrated Services Ltd,,,,,,,
34,,Karis Rauch Global Ltd,,,,,,,
35,,S.N Madrid International Nig. Ent,,,,,,,
36,,Sehita Nig. Ltd,,,,,,,
37,,7Six Solutions Ltd,,,,,,,
38,,Wintrofield Nig. Ltd,,,,,,,
39,,Doxa Digital Nig. Limited,,,,,,,
40,,Rivers of Queen Nig. Ltd,,,,,,,
41,,Mswitch Global Services Ltd,,,,,,,
42,,ETTAH Investment Ltd,,,,,,,
43,,KORAF Hotel & Apartment,,,,,,,
44,,Darlez Nigeria Ltd,,,,,,,
45,,Aiecran Integrated Services Limited,,,,,,,
46,,Tomimi International Limited,,,,,,,
47,,Zen Masters Nigeria Limited,,,,,,,
48,,Kobo Productions Limited,,,,,,,
49,,Yes Synergy Nigeria Ltd,,,,,,,
50,,Devcom Integrated Services Limited,,,,,,,
51,,INSIGHT PHARMACEUTICALS LTD YES SYNERGY LIMITED,,,,,,,
52,,INSIGHT PHARMACEUTICALS LTD,,,,,,,
53,,"Association Of Orphans And Vulnerable Children In Nigeria
INSIGHT PHARMACEUTICALS LTD",,,,,,,
54,,"Children In Nig
Nigeria",,,,,,,
55,,Aribosar Venture Limited,,,,,,,
56,,Donjest Nigeria LTD,,,,,,,
57,,Sehitta Nigeria LTD,,,,,,,
58,,Bridgehead Investment Limited,,,,,,,
59,,Excell Global Printers,,,,,,,
60,,Mc Delphia Services,,,,,,,
61,,lykonic Global Investment,,,,,,,
62,,Demarol Concepts Nigeria ITD,,,,,,,
63,,Greenpoint Global Services Ltd,,,,,,,
64,,KC Reni Company Ltd,,,,,,,
65,,Mahmi Nig. LTD,,,,,,,
66,,Mendricks Integrated Services,,,,,,,
67,,Alecram Integrated Services Nig. Ltd,,,,,,,
68,,S.0 International Services LTD,,,,,,,
69,,Stepcho Nig. LTD,,,,,,,
70,,Excell Global Printers LTD,,,,,,,
71,,OMAF Premier Nig. LTD,,,,,,,
72,,Doxa Digital Nigeria LTD,,,,,,,
73,,Akral Conult,,,,,,,
74,,Ibolda Health Intl.,,,,,,,
75,,ESERC,,,,,,,
76,,HSS,,,,,,,
77,,Zebra Multiservices Ltd,,,,,,,
78,,Ubelle Nig. Ltd,,,,,,,
79,,SAMJOFEL,,,,,,,
80,,JD Alhassan,,,,,,,
81,,"Adenusi & Co Chattered Accountants,",,,,,,,
82,,Haruna Bahago,,,,,,,
83,,MgB,,,,,,,